Index,Name,Length,NumLanes,IsConnector,FromLink,FromPos,ToLink,ToPos
10030,,3.1197333084130747,3,1,75,496.8917374521199,76,0.01
10031,,89.49696637525753,1,1,3,115.00113390143174,1,0.0
10032,,75.73203442923713,1,1,7,150.00269084675193,1,0.0
10033,,36.26473909198316,1,1,9,186.75372074680166,1,0.0
10034,,89.5670542259135,1,1,5,74.99802436874603,32,0.0
10035,,36.24321874512318,1,1,7,150.00269084675193,32,0.0
10036,,76.12122368014172,1,1,9,186.75372074680166,32,0.0
10037,,37.0508563567921,1,1,3,115.00113390143174,65,0.0
10038,,77.22583920584584,1,1,5,74.99802436874603,65,0.0
10039,,65.22651215204976,2,1,7,150.00269084675193,65,0.0
10040,,76.94868543090743,1,1,3,115.00113390143174,10,0.0
10041,,37.841819418181196,1,1,5,74.99802436874603,10,0.0
10042,,65.35796221908467,2,1,9,186.75372074680166,10,0.0
10043,,48.44649824455257,1,1,17,99.99867871923989,18,0.0
10044,,90.4341411522222,1,1,12,116.33434158001047,18,0.0
10045,,78.38845412246083,1,1,15,100.00118596439532,18,0.0
10046,,78.44275691287827,1,1,17,99.99867871923989,19,0.0
10047,,89.00454516687364,1,1,13,371.2863030714829,19,0.0
10048,,42.603294371300564,1,1,15,100.00118596439532,19,0.0
10049,,37.58994280702079,1,1,12,116.33434158001047,22,0.0
10050,,82.80368427814561,1,1,13,371.2863030714829,22,0.0
10051,,77.8884014867579,2,1,15,100.00118596439532,22,0.0
10052,,76.95852860068999,2,1,17,99.99867871923989,68,0.0
10053,,83.29414040098209,1,1,12,116.33434158001047,68,0.0
10054,,38.2174365267349,1,1,13,371.2863030714829,68,0.0
10055,,48.06998405712156,1,1,21,419.30651171770575,16,0.0
10056,,46.75840848802135,2,1,24,230.0005594641937,16,0.0
10057,,103.16428880164119,1,1,21,419.30651171770575,25,0.0
10058,,34.29340353604371,1,1,22,311.553635762526,25,0.0
10059,,59.43510838926267,2,1,24,230.0005594641937,25,0.0
10060,,93.32231850653433,2,1,21,419.30651171770575,26,0.0
10061,,72.18018076499177,2,1,22,311.553635762526,26,0.0
10062,,80.63765695331435,3,1,28,195.8986628985051,23,0.0
10063,,103.42074124783286,1,1,30,251.53387399938168,23,0.0
10064,,71.02317931709442,1,1,27,220.00026895188543,31,0.0
10065,,46.37380906806229,1,1,28,195.8986628985051,31,0.0
10066,,53.18071022018826,2,1,27,220.00026895188543,58,0.0
10067,,89.85236362975202,2,1,30,251.53387399938168,58,0.0
10068,,50.67741358545357,1,1,35,302.28581218270466,33,0.0
10069,,78.85283365991724,1,1,136,114.39431539740045,33,0.0
10070,,89.55269292713136,2,1,40,152.09715676925765,33,0.0
10071,,105.02672417941763,1,1,35,302.28581218270466,43,0.0
10072,,97.57128283765279,1,1,40,152.09715676925765,43,0.0
10073,,46.679126425310386,1,1,42,358.0104258453931,43,0.0
10074,,100.12697190304118,2,1,136,114.39431539740045,44,0.0
10075,,37.503866872999545,1,1,40,152.09715676925765,44,0.0
10076,,94.75116061508096,1,1,42,358.0104258453931,44,0.0
10077,,120.53885427613392,2,1,35,302.28581218270466,51,0.0
10078,,38.05711300674329,1,1,136,114.39431539740045,51,0.0
10079,,106.39583991282673,2,1,42,358.0104258453931,51,0.0
10080,,36.03350667452563,1,1,46,70.00105208450175,38,0.0
10081,,84.53346828934953,1,1,48,150.00001162487237,38,0.0
10082,,77.21879876278653,2,1,50,219.73476156138813,38,0.0
10083,,90.2525282829641,1,1,46,70.00105208450175,53,0.0
10084,,75.11685248929089,1,1,50,219.73476156138813,53,0.0
10085,,50.98030598021008,1,1,52,149.60648279930024,53,0.0
10086,,90.09576872130728,1,1,48,150.00001162487237,54,0.0
10087,,37.39512388448621,1,1,50,219.73476156138813,54,0.0
10088,,85.56088716027304,1,1,52,149.60648279930024,54,0.0
10089,,82.10035498577318,1,1,46,70.00105208450175,60,0.0
10090,,22.47122898312977,1,1,48,150.00001162487237,60,0.0
10091,,77.81857860743024,2,1,52,149.60648279930024,60,0.0
10092,,120.75126846368565,2,1,56,220.20510973657613,28,0.0
10093,,46.89596461851526,1,1,57,301.5307467979995,28,0.0
10094,,98.56590839870235,3,1,61,278.43689223060505,28,0.0
10095,,66.54813940019034,1,1,56,220.20510973657613,49,0.0
