SignalControllerId,SignalGroupId,SignalHeadId,CmTrafficLightIndex,CmControllerId
J1,-1,0,4,J1_0
J1,-1,1,-1,
J1,-1,2,-1,
J1,-1,3,0,J1_3
J1,-1,4,-1,
J1,-1,5,3,J1_5
J1,-1,6,2,J1_6
J1,-1,7,1,J1_7
J1,-1,8,-1,
J11,-1,0,-1,
J11,-1,1,-1,
J11,-1,2,-1,
