timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
164.10,5,5_0,flow_0.16,266.30,13.89
164.10,5,5_0,flow_1.13,293.46,13.89
164.10,5,5_0,flow_0.15,328.53,13.89
164.10,5,5_0,flow_1.12,354.34,13.89
164.10,5,5_0,flow_0.14,389.65,13.89
164.10,5,5_0,flow_1.11,415.90,13.89
164.10,5,5_0,flow_0.13,450.24,13.89
164.10,5,5_0,flow_1.10,477.72,13.89
164.10,5,5_0,flow_0.12,512.14,13.89
164.10,5,5_0,flow_1.9,538.17,13.89
164.10,5,5_0,flow_0.11,572.31,13.89
164.10,5,5_0,flow_0.10,603.44,13.89
164.10,5,5_0,flow_1.8,629.86,13.89
164.10,5,5_0,flow_1.7,660.95,13.89
164.10,5,5_0,flow_0.9,694.57,13.89
164.10,5,5_0,flow_0.8,725.64,13.89
164.10,5,5_0,flow_1.6,751.55,13.89
164.10,5,5_0,flow_0.7,786.16,13.89
164.10,5,5_0,flow_0.6,817.34,13.89
164.10,5,5_0,flow_0.5,847.34,13.89
164.10,5,5_0,flow_1.5,874.35,13.89
164.10,5,5_0,flow_1.4,904.68,13.89
164.10,5,5_0,flow_1.3,935.70,13.89
164.10,5,5_0,flow_0.4,969.58,13.89
164.10,5,5_0,flow_1.2,996.15,13.89
164.10,5,5_0,flow_0.3,1058.18,13.89
164.10,5,5_0,flow_0.2,1088.50,13.89
164.10,5,5_0,flow_1.1,1114.79,13.89
164.10,5,5_0,flow_0.1,1148.85,13.89
164.10,5,5_0,flow_1.0,1176.03,13.89
164.10,5,5_0,flow_0.0,1231.55,13.89
164.20,1,1_0,flow_0.45,35.47,13.85
164.20,1,1_0,flow_0.44,88.08,14.32
164.20,1,1_0,flow_0.43,135.94,13.86
164.20,1,1_0,flow_0.42,190.80,14.26
164.20,1,1_0,flow_0.41,224.23,13.17
164.20,1,1_0,flow_0.40,267.55,13.02
164.20,1,1_0,flow_0.39,325.19,13.51
164.20,1,1_0,flow_0.38,376.46,12.75
164.20,1,1_0,flow_0.37,396.98,12.59
164.20,1,1_0,flow_0.36,425.75,11.25
164.20,1,1_0,flow_0.35,504.07,9.21
164.20,1,1_0,flow_0.34,541.88,7.60
164.20,1,1_0,flow_0.33,553.33,7.19
164.20,1,1_0,flow_0.32,576.39,7.92
164.20,1,1_0,flow_0.31,594.83,8.03
164.20,1,1_0,flow_0.30,636.22,7.75
164.20,1,1_0,flow_0.29,667.24,9.58
164.20,1,1_0,flow_0.28,711.07,11.26
164.20,1,1_0,flow_0.27,762.97,12.87
164.20,2,2_0,flow_1.36,36.03,14.03
164.20,2,2_0,flow_1.35,105.82,14.98
164.20,2,2_0,flow_1.34,157.14,13.61
164.20,2,2_0,flow_1.33,218.88,13.65
164.20,2,2_0,flow_1.32,299.98,14.62
164.20,2,2_0,flow_1.31,354.52,14.19
164.20,2,2_0,flow_1.30,406.20,11.85
164.20,2,2_0,flow_1.29,426.39,11.63
164.20,2,2_0,flow_1.28,485.35,9.41
164.20,2,2_0,flow_1.27,550.04,6.97
164.20,2,2_0,flow_1.26,571.46,7.47
164.20,2,2_0,flow_1.25,622.18,7.20
164.20,2,2_0,flow_1.24,652.25,8.44
164.20,2,2_0,flow_1.23,687.42,10.50
164.20,2,2_0,flow_1.22,735.56,12.14
164.20,2,2_0,flow_1.21,791.43,13.51
164.20,3,3_0,,,
164.20,3,3_1,flow_0.26,19.16,13.89
164.20,3,3_1,flow_1.20,46.28,13.89
164.20,3,3_1,flow_0.25,80.28,13.89
164.20,3,3_1,flow_0.24,110.32,13.89
164.20,3,3_1,flow_1.19,136.78,13.89
164.20,4,4_0,flow_1.18,11.35,13.89
164.20,4,4_0,flow_1.17,41.96,13.89
164.20,4,4_0,flow_0.23,75.84,13.89
164.20,4,4_0,flow_0.22,106.82,13.89
164.20,5,5_0,flow_0.21,23.29,13.89
164.20,5,5_0,flow_0.20,54.22,13.89
164.20,5,5_0,flow_1.16,81.48,13.89
164.20,5,5_0,flow_0.19,115.93,13.89
164.20,5,5_0,flow_1.15,141.64,13.89
164.20,5,5_0,flow_0.18,177.03,13.89
164.20,5,5_0,flow_1.14,202.77,13.89
164.20,5,5_0,flow_0.17,237.96,13.89
164.20,5,5_0,flow_0.16,267.69,13.89
164.20,5,5_0,flow_1.13,294.85,13.89
164.20,5,5_0,flow_0.15,329.91,13.89
164.20,5,5_0,flow_1.12,355.73,13.89
164.20,5,5_0,flow_0.14,391.04,13.89
164.20,5,5_0,flow_1.11,417.29,13.89
164.20,5,5_0,flow_0.13,451.63,13.89
164.20,5,5_0,flow_1.10,479.11,13.89
164.20,5,5_0,flow_0.12,513.53,13.89
164.20,5,5_0,flow_1.9,539.56,13.89
164.20,5,5_0,flow_0.11,573.70,13.89
164.20,5,5_0,flow_0.10,604.83,13.89
164.20,5,5_0,flow_1.8,631.25,13.89
164.20,5,5_0,flow_1.7,662.34,13.89
164.20,5,5_0,flow_0.9,695.96,13.89
164.20,5,5_0,flow_0.8,727.02,13.89
164.20,5,5_0,flow_1.6,752.94,13.89
164.20,5,5_0,flow_0.7,787.55,13.89
164.20,5,5_0,flow_0.6,818.73,13.89
164.20,5,5_0,flow_0.5,848.73,13.89
164.20,5,5_0,flow_1.5,875.74,13.89
164.20,5,5_0,flow_1.4,906.07,13.89
164.20,5,5_0,flow_1.3,937.09,13.89
164.20,5,5_0,flow_0.4,970.97,13.89
164.20,5,5_0,flow_1.2,997.54,13.89
164.20,5,5_0,flow_0.3,1059.57,13.89
164.20,5,5_0,flow_0.2,1089.89,13.89
164.20,5,5_0,flow_1.1,1116.18,13.89
164.20,5,5_0,flow_0.1,1150.24,13.89
164.20,5,5_0,flow_1.0,1177.42,13.89
164.20,5,5_0,flow_0.0,1232.94,13.89
164.30,1,1_0,flow_0.45,36.84,13.75
164.30,1,1_0,flow_0.44,89.51,14.28
164.30,1,1_0,flow_0.43,137.33,13.91
164.30,1,1_0,flow_0.42,192.23,14.30
164.30,1,1_0,flow_0.41,225.55,13.19
164.30,1,1_0,flow_0.40,268.85,12.98
164.30,1,1_0,flow_0.39,326.54,13.49
164.30,1,1_0,flow_0.38,377.73,12.67
164.30,1,1_0,flow_0.37,398.25,12.67
164.30,1,1_0,flow_0.36,426.87,11.21
164.30,1,1_0,flow_0.35,504.98,9.18
164.30,1,1_0,flow_0.34,542.64,7.57
164.30,1,1_0,flow_0.33,554.05,7.18
164.30,1,1_0,flow_0.32,577.18,7.92
164.30,1,1_0,flow_0.31,595.64,8.03
164.30,1,1_0,flow_0.30,637.00,7.77
164.30,1,1_0,flow_0.29,668.20,9.60
164.30,1,1_0,flow_0.28,712.20,11.29
164.30,1,1_0,flow_0.27,764.26,12.90
164.30,2,2_0,flow_1.36,37.43,14.03
164.30,2,2_0,flow_1.35,107.33,15.09
164.30,2,2_0,flow_1.34,158.49,13.53
164.30,2,2_0,flow_1.33,220.24,13.56
164.30,2,2_0,flow_1.32,301.44,14.63
164.30,2,2_0,flow_1.31,355.93,14.08
164.30,2,2_0,flow_1.30,407.38,11.80
164.30,2,2_0,flow_1.29,427.55,11.59
164.30,2,2_0,flow_1.28,486.28,9.37
164.30,2,2_0,flow_1.27,550.73,6.95
164.30,2,2_0,flow_1.26,572.21,7.46
164.30,2,2_0,flow_1.25,622.91,7.21
164.30,2,2_0,flow_1.24,653.10,8.46
164.30,2,2_0,flow_1.23,688.48,10.53
164.30,2,2_0,flow_1.22,736.78,12.17
164.30,2,2_0,flow_1.21,792.79,13.55
164.30,3,3_0,,,
164.30,3,3_1,flow_0.26,20.55,13.89
164.30,3,3_1,flow_1.20,47.67,13.89
164.30,3,3_1,flow_0.25,81.67,13.89
164.30,3,3_1,flow_0.24,111.71,13.89
164.30,3,3_1,flow_1.19,138.17,13.89
164.30,4,4_0,flow_1.18,12.74,13.89
164.30,4,4_0,flow_1.17,43.35,13.89
164.30,4,4_0,flow_0.23,77.23,13.89
164.30,4,4_0,flow_0.22,108.21,13.89
164.30,5,5_0,flow_0.21,24.68,13.89
164.30,5,5_0,flow_0.20,55.61,13.89
164.30,5,5_0,flow_1.16,82.87,13.89
164.30,5,5_0,flow_0.19,117.31,13.89
164.30,5,5_0,flow_1.15,143.03,13.89
164.30,5,5_0,flow_0.18,178.42,13.89
164.30,5,5_0,flow_1.14,204.16,13.89
164.30,5,5_0,flow_0.17,239.35,13.89
164.30,5,5_0,flow_0.16,269.08,13.89
164.30,5,5_0,flow_1.13,296.24,13.89
164.30,5,5_0,flow_0.15,331.30,13.89
164.30,5,5_0,flow_1.12,357.12,13.89
164.30,5,5_0,flow_0.14,392.43,13.89
164.30,5,5_0,flow_1.11,418.68,13.89
164.30,5,5_0,flow_0.13,453.02,13.89
164.30,5,5_0,flow_1.10,480.50,13.89
164.30,5,5_0,flow_0.12,514.92,13.89
164.30,5,5_0,flow_1.9,540.95,13.89
164.30,5,5_0,flow_0.11,575.09,13.89
164.30,5,5_0,flow_0.10,606.22,13.89
164.30,5,5_0,flow_1.8,632.64,13.89
164.30,5,5_0,flow_1.7,663.73,13.89
164.30,5,5_0,flow_0.9,697.34,13.89
164.30,5,5_0,flow_0.8,728.41,13.89
164.30,5,5_0,flow_1.6,754.33,13.89
164.30,5,5_0,flow_0.7,788.94,13.89
164.30,5,5_0,flow_0.6,820.12,13.89
164.30,5,5_0,flow_0.5,850.12,13.89
164.30,5,5_0,flow_1.5,877.13,13.89
164.30,5,5_0,flow_1.4,907.46,13.89
164.30,5,5_0,flow_1.3,938.48,13.89
164.30,5,5_0,flow_0.4,972.36,13.89
164.30,5,5_0,flow_1.2,998.93,13.89
164.30,5,5_0,flow_0.3,1060.96,13.89
164.30,5,5_0,flow_0.2,1091.28,13.89
164.30,5,5_0,flow_1.1,1117.57,13.89
164.30,5,5_0,flow_0.1,1151.63,13.89
164.30,5,5_0,flow_1.0,1178.81,13.89
164.30,5,5_0,flow_0.0,1234.33,13.89
164.40,1,1_0,flow_0.45,38.23,13.86
164.40,1,1_0,flow_0.44,90.93,14.27
164.40,1,1_0,flow_0.43,138.73,13.99
164.40,1,1_0,flow_0.42,193.66,14.32
164.40,1,1_0,flow_0.41,226.87,13.26
164.40,1,1_0,flow_0.40,270.14,12.97
164.40,1,1_0,flow_0.39,327.89,13.48
164.40,1,1_0,flow_0.38,379.00,12.73
164.40,1,1_0,flow_0.37,399.51,12.69
164.40,1,1_0,flow_0.36,427.99,11.17
164.40,1,1_0,flow_0.35,505.90,9.15
164.40,1,1_0,flow_0.34,543.40,7.54
164.40,1,1_0,flow_0.33,554.77,7.17
164.40,1,1_0,flow_0.32,577.97,7.92
164.40,1,1_0,flow_0.31,596.44,8.03
164.40,1,1_0,flow_0.30,637.78,7.79
164.40,1,1_0,flow_0.29,669.16,9.62
164.40,1,1_0,flow_0.28,713.33,11.32
164.40,1,1_0,flow_0.27,765.55,12.93
164.40,2,2_0,flow_1.36,38.84,14.10
164.40,2,2_0,flow_1.35,108.83,15.02
164.40,2,2_0,flow_1.34,159.85,13.62
164.40,2,2_0,flow_1.33,221.60,13.67
164.40,2,2_0,flow_1.32,302.91,14.65
164.40,2,2_0,flow_1.31,357.34,14.16
164.40,2,2_0,flow_1.30,408.56,11.75
164.40,2,2_0,flow_1.29,428.70,11.55
164.40,2,2_0,flow_1.28,487.22,9.34
164.40,2,2_0,flow_1.27,551.43,6.94
164.40,2,2_0,flow_1.26,572.96,7.45
164.40,2,2_0,flow_1.25,623.63,7.22
164.40,2,2_0,flow_1.24,653.95,8.48
164.40,2,2_0,flow_1.23,689.53,10.56
164.40,2,2_0,flow_1.22,738.00,12.20
164.40,2,2_0,flow_1.21,794.15,13.60
164.40,3,3_0,,,
164.40,3,3_1,flow_0.26,21.94,13.89
164.40,3,3_1,flow_1.20,49.06,13.89
164.40,3,3_1,flow_0.25,83.06,13.89
164.40,3,3_1,flow_0.24,113.09,13.89
164.40,3,3_1,flow_1.19,139.56,13.89
164.40,4,4_0,flow_1.18,14.13,13.89
164.40,4,4_0,flow_1.17,44.74,13.89
164.40,4,4_0,flow_0.23,78.62,13.89
164.40,4,4_0,flow_0.22,109.60,13.89
164.40,5,5_0,flow_0.21,26.07,13.89
164.40,5,5_0,flow_0.20,57.00,13.89
164.40,5,5_0,flow_1.16,84.26,13.89
164.40,5,5_0,flow_0.19,118.70,13.89
164.40,5,5_0,flow_1.15,144.41,13.89
164.40,5,5_0,flow_0.18,179.81,13.89
164.40,5,5_0,flow_1.14,205.55,13.89
164.40,5,5_0,flow_0.17,240.74,13.89
164.40,5,5_0,flow_0.16,270.47,13.89
164.40,5,5_0,flow_1.13,297.63,13.89
164.40,5,5_0,flow_0.15,332.69,13.89
164.40,5,5_0,flow_1.12,358.51,13.89
164.40,5,5_0,flow_0.14,393.82,13.89
164.40,5,5_0,flow_1.11,420.06,13.89
164.40,5,5_0,flow_0.13,454.40,13.89
164.40,5,5_0,flow_1.10,481.88,13.89
164.40,5,5_0,flow_0.12,516.31,13.89
164.40,5,5_0,flow_1.9,542.34,13.89
164.40,5,5_0,flow_0.11,576.48,13.89
164.40,5,5_0,flow_0.10,607.61,13.89
164.40,5,5_0,flow_1.8,634.03,13.89
164.40,5,5_0,flow_1.7,665.12,13.89
164.40,5,5_0,flow_0.9,698.73,13.89
164.40,5,5_0,flow_0.8,729.80,13.89
164.40,5,5_0,flow_1.6,755.72,13.89
164.40,5,5_0,flow_0.7,790.33,13.89
164.40,5,5_0,flow_0.6,821.51,13.89
164.40,5,5_0,flow_0.5,851.51,13.89
164.40,5,5_0,flow_1.5,878.52,13.89
164.40,5,5_0,flow_1.4,908.85,13.89
164.40,5,5_0,flow_1.3,939.87,13.89
164.40,5,5_0,flow_0.4,973.75,13.89
164.40,5,5_0,flow_1.2,1000.32,13.89
164.40,5,5_0,flow_0.3,1062.35,13.89
164.40,5,5_0,flow_0.2,1092.67,13.89
164.40,5,5_0,flow_1.1,1118.96,13.89
164.40,5,5_0,flow_0.1,1153.02,13.89
164.40,5,5_0,flow_1.0,1180.19,13.89
164.40,5,5_0,flow_0.0,1235.71,13.89
164.50,1,1_0,flow_0.45,39.61,13.83
164.50,1,1_0,flow_0.44,92.36,14.32
164.50,1,1_0,flow_0.43,140.12,13.95
164.50,1,1_0,flow_0.42,195.10,14.33
164.50,1,1_0,flow_0.41,228.20,13.25
164.50,1,1_0,flow_0.40,271.44,12.94
164.50,1,1_0,flow_0.39,329.23,13.47
164.50,1,1_0,flow_0.38,380.27,12.70
164.50,1,1_0,flow_0.37,400.78,12.68
164.50,1,1_0,flow_0.36,429.10,11.13
164.50,1,1_0,flow_0.35,506.81,9.12
164.50,1,1_0,flow_0.34,544.15,7.51
164.50,1,1_0,flow_0.33,555.49,7.17
164.50,1,1_0,flow_0.32,578.77,7.92
164.50,1,1_0,flow_0.31,597.24,8.03
164.50,1,1_0,flow_0.30,638.56,7.81
164.50,1,1_0,flow_0.29,670.12,9.64
164.50,1,1_0,flow_0.28,714.46,11.35
164.50,1,1_0,flow_0.27,766.85,12.96
164.50,2,2_0,flow_1.36,40.25,14.06
164.50,2,2_0,flow_1.35,110.34,15.09
164.50,2,2_0,flow_1.34,161.21,13.60
164.50,2,2_0,flow_1.33,222.96,13.55
164.50,2,2_0,flow_1.32,304.37,14.63
164.50,2,2_0,flow_1.31,358.76,14.16
164.50,2,2_0,flow_1.30,409.73,11.70
164.50,2,2_0,flow_1.29,429.85,11.51
164.50,2,2_0,flow_1.28,488.15,9.31
164.50,2,2_0,flow_1.27,552.12,6.93
164.50,2,2_0,flow_1.26,573.70,7.44
164.50,2,2_0,flow_1.25,624.35,7.23
164.50,2,2_0,flow_1.24,654.80,8.50
164.50,2,2_0,flow_1.23,690.59,10.59
164.50,2,2_0,flow_1.22,739.22,12.23
164.50,2,2_0,flow_1.21,795.51,13.65
164.50,3,3_0,,,
164.50,3,3_1,flow_0.26,23.33,13.89
164.50,3,3_1,flow_1.20,50.45,13.89
164.50,3,3_1,flow_0.25,84.44,13.89
164.50,3,3_1,flow_0.24,114.48,13.89
164.50,3,3_1,flow_1.19,140.95,13.89
164.50,4,4_0,flow_1.18,15.52,13.89
164.50,4,4_0,flow_1.17,46.13,13.89
164.50,4,4_0,flow_0.23,80.01,13.89
164.50,4,4_0,flow_0.22,110.99,13.89
164.50,5,5_0,flow_0.21,27.46,13.89
164.50,5,5_0,flow_0.20,58.39,13.89
164.50,5,5_0,flow_1.16,85.65,13.89
164.50,5,5_0,flow_0.19,120.09,13.89
164.50,5,5_0,flow_1.15,145.80,13.89
164.50,5,5_0,flow_0.18,181.20,13.89
164.50,5,5_0,flow_1.14,206.94,13.89
164.50,5,5_0,flow_0.17,242.13,13.89
