timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
91.30,1,1_0,flow_0.20,264.76,13.51
91.30,1,1_0,flow_0.19,327.96,14.15
91.30,1,1_0,flow_0.18,396.17,12.25
91.30,1,1_0,flow_0.17,416.72,11.97
91.30,1,1_0,flow_0.16,436.96,11.81
91.30,1,1_0,flow_0.15,472.29,10.64
91.30,1,1_0,flow_0.14,494.52,11.48
91.30,1,1_0,flow_0.13,519.14,12.61
91.30,1,1_0,flow_0.12,611.19,10.28
91.30,1,1_0,flow_0.11,654.87,10.95
91.30,1,1_0,flow_0.10,678.86,11.37
91.30,1,1_0,flow_0.9,757.77,13.20
91.30,1,1_0,flow_0.8,787.29,13.56
91.30,2,2_0,flow_1.20,23.02,13.79
91.30,2,2_0,flow_1.19,88.32,14.33
91.30,2,2_0,flow_1.18,141.37,13.21
91.30,2,2_0,flow_1.17,189.29,12.47
91.30,2,2_0,flow_1.16,309.35,14.21
91.30,2,2_0,flow_1.15,332.47,13.76
91.30,2,2_0,flow_1.14,398.40,13.94
91.30,2,2_0,flow_1.13,464.12,10.58
91.30,2,2_0,flow_1.12,484.95,11.06
91.30,2,2_0,flow_1.11,508.69,12.03
91.30,2,2_0,flow_1.10,568.73,11.78
91.30,2,2_0,flow_1.9,640.60,9.64
91.30,2,2_0,flow_1.8,701.89,12.46
91.30,2,2_0,flow_1.7,729.30,12.85
91.30,3,3_0,,,
91.30,3,3_1,flow_1.6,10.92,13.89
91.30,3,3_1,flow_0.7,44.86,13.89
91.30,3,3_1,flow_0.6,75.41,13.89
91.30,3,3_1,flow_0.5,105.97,13.89
91.30,3,3_1,flow_1.5,133.14,13.89
91.30,4,4_0,flow_1.4,6.68,13.89
91.30,4,4_0,flow_1.3,37.23,13.89
91.30,4,4_0,flow_0.4,71.18,13.89
91.30,4,4_0,flow_1.2,98.34,13.89
91.30,5,5_0,flow_0.3,46.96,13.89
91.30,5,5_0,flow_0.2,77.52,13.89
91.30,5,5_0,flow_1.1,104.69,13.89
91.30,5,5_0,flow_0.1,138.64,13.89
91.30,5,5_0,flow_1.0,165.79,13.89
91.30,5,5_0,flow_0.0,220.43,13.89
91.40,1,1_0,flow_0.25,26.18,15.03
91.40,1,1_0,flow_0.24,77.27,14.41
91.40,1,1_0,flow_0.23,134.98,15.14
91.40,1,1_0,flow_0.22,178.89,14.20
91.40,1,1_0,flow_0.21,242.60,14.09
91.40,1,1_0,flow_0.20,266.12,13.52
91.40,1,1_0,flow_0.19,329.37,14.10
91.40,1,1_0,flow_0.18,397.39,12.19
91.40,1,1_0,flow_0.17,417.91,11.94
91.40,1,1_0,flow_0.16,438.14,11.78
91.40,1,1_0,flow_0.15,473.35,10.63
91.40,1,1_0,flow_0.14,495.67,11.48
91.40,1,1_0,flow_0.13,520.40,12.62
91.40,1,1_0,flow_0.12,612.22,10.28
91.40,1,1_0,flow_0.11,655.97,10.96
91.40,1,1_0,flow_0.10,680.00,11.39
91.40,1,1_0,flow_0.9,759.09,13.21
91.40,1,1_0,flow_0.8,788.65,13.59
91.40,2,2_0,flow_1.20,24.39,13.74
91.40,2,2_0,flow_1.19,89.75,14.32
91.40,2,2_0,flow_1.18,142.69,13.22
