timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
35.50,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
35.50,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,40.0197851484,16.6919559201
35.50,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,71.1570824599,15.5289290924
35.50,834845345#7,834845345#7_0,0_2,51.5463537978,17.5506514888
35.50,834845345#7,834845345#7_1,,,
35.50,8867312#6.18,8867312#6.18_0,0_4,52.9581882524,12.9353157765
35.50,8868160#0.7,8868160#0.7_0,0_21,43.5526199445,29.0320610837
35.50,8868160#0.7,8868160#0.7_1,,,
35.50,gneE23,gneE23_0,0_11,0.7078712523,16.2135245197
35.50,gneE23,gneE23_1,,,
35.60,:6018664060_0,:6018664060_0_0,,,
35.60,:6018664060_0,:6018664060_0_1,0_19,4.7724650053,15.2022027971
35.60,:6018664060_0,:6018664060_0_2,,,
35.60,:6018699306_1,:6018699306_1_0,0_10,7.0008449629,17.7794249974
35.60,:6018699306_1,:6018699306_1_1,,,
35.60,:63082002_4,:63082002_4_0,0_12,16.4409169056,24.4810082189
35.60,:63082002_4,:63082002_4_1,,,
35.60,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_0,,,
35.60,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_1,0_7,18.2034634647,24.5431653282
35.60,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_2,,,
35.60,:gneJ26_1,:gneJ26_1_0,0_18,5.4290273182,25.2242214848
35.60,:gneJ26_1,:gneJ26_1_1,,,
35.60,-638636924#1.9,-638636924#1.9_0,0_13,54.4928357583,0.2832630245
35.60,-638636924#1.9,-638636924#1.9_1,,,
35.60,-8867312#4.11,-8867312#4.11_0,0_5,129.2319916171,14.1666903874
35.60,115872656#11.5,115872656#11.5_0,0_14,25.0257066901,11.2067072133
35.60,115872656#11.5,115872656#11.5_1,0_0,115.3717717799,22.4438699915
35.60,115872656#9,115872656#9_0,,,
35.60,115872656#9,115872656#9_1,,,
35.60,115872656#9,115872656#9_2,0_6,79.4318081292,22.3398193391
35.60,834845345#1,834845345#1_0,0_22,0.0000000000,20.2021650000
35.60,834845345#1,834845345#1_0,0_20,81.7929062726,25.2382753600
35.60,834845345#1,834845345#1_0,0_17,174.8507888338,21.2900841527
35.60,834845345#1,834845345#1_0,0_16,237.1850320337,23.8381366192
35.60,834845345#1,834845345#1_0,0_15,281.2677960111,24.8078598326
35.60,834845345#1,834845345#1_1,,,
35.60,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
35.60,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
35.60,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,41.6861742016,16.6358251452
35.60,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,72.7103883571,15.5371888519
35.60,834845345#7,834845345#7_0,0_2,53.3035680028,17.5936326106
35.60,834845345#7,834845345#7_1,,,
35.60,8867312#6.18,8867312#6.18_0,0_4,54.2525971095,12.9528613665
35.60,8868160#0.7,8868160#0.7_0,0_21,46.4559012846,29.0335657196
35.60,8868160#0.7,8868160#0.7_1,,,
35.60,gneE23,gneE23_0,0_11,2.3294060977,16.2171723868
35.60,gneE23,gneE23_1,,,
35.70,:6018664060_0,:6018664060_0_0,,,
35.70,:6018664060_0,:6018664060_0_1,0_19,6.2926936294,15.2023696845
35.70,:6018664060_0,:6018664060_0_2,,,
35.70,:6018699306_1,:6018699306_1_0,0_10,8.7787874626,17.7794249974
35.70,:6018699306_1,:6018699306_1_1,,,
35.70,:63082002_4,:63082002_4_0,0_12,18.8849484038,24.3996217458
35.70,:63082002_4,:63082002_4_1,,,
35.70,:64208332_1,:64208332_1_0,,,
35.70,:64208332_1,:64208332_1_1,0_6,0.6870808422,22.3656349203
35.70,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_0,,,
35.70,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_1,0_7,20.6578052092,24.5436695613
35.70,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_2,,,
35.70,:gneJ26_1,:gneJ26_1_0,0_18,7.9483799443,25.1628310375
35.70,:gneJ26_1,:gneJ26_1_1,,,
35.70,-638636924#1.9,-638636924#1.9_0,0_13,54.5186294954,0.2326117168
35.70,-638636924#1.9,-638636924#1.9_1,,,
35.70,-8867312#4.11,-8867312#4.11_0,0_5,130.6489068806,14.1716148826
35.70,115872656#11.5,115872656#11.5_0,0_14,26.1543858848,11.3668766792
35.70,115872656#11.5,115872656#11.5_1,0_0,117.6161587791,22.4438699915
35.70,834845345#1,834845345#1_0,0_22,2.0201991859,20.2018187183
35.70,834845345#1,834845345#1_0,0_20,84.3157835174,25.2192695370
35.70,834845345#1,834845345#1_0,0_17,176.9797403873,21.2889469184
35.70,834845345#1,834845345#1_0,0_16,239.5689169777,23.8395622603
35.70,834845345#1,834845345#1_0,0_15,283.7488160845,24.8125416349
35.70,834845345#1,834845345#1_1,,,
35.70,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
35.70,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
35.70,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,43.3473282996,16.5872568138
35.70,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,74.2645152815,15.5453496358
35.70,834845345#7,834845345#7_0,0_2,55.0650608251,17.6362238350
35.70,834845345#7,834845345#7_1,,,
35.70,8867312#6.18,8867312#6.18_0,0_4,55.5487605257,12.9704069564
35.70,8868160#0.7,8868160#0.7_0,0_21,49.3593319491,29.0350475688
35.70,8868160#0.7,8868160#0.7_1,,,
35.70,gneE23,gneE23_0,0_11,3.9513057297,16.2208202538
35.70,gneE23,gneE23_1,,,
35.80,:6018664060_0,:6018664060_0_0,,,
35.80,:6018664060_0,:6018664060_0_1,0_19,7.8129379873,15.2025174742
35.80,:6018664060_0,:6018664060_0_2,,,
35.80,:6018699306_1,:6018699306_1_0,0_10,10.5567299624,17.7794249974
35.80,:6018699306_1,:6018699306_1_1,,,
35.80,:63082002_4,:63082002_4_0,0_12,21.3208412547,24.3182352727
35.80,:63082002_4,:63082002_4_1,,,
35.80,:64208332_1,:64208332_1_0,,,
35.80,:64208332_1,:64208332_1_1,0_6,2.9249145970,22.3910401744
35.80,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_0,,,
35.80,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_1,0_7,23.1121973770,24.5441737943
35.80,:834845345#4-AddedOnRampNode_0,:834845345#4-AddedOnRampNode_0_2,,,
35.80,:gneJ26_1,:gneJ26_1_0,0_18,10.4615935257,25.1014405902
35.80,:gneJ26_1,:gneJ26_1_1,,,
35.80,-638636924#1.9,-638636924#1.9_0,0_13,54.5393581017,0.1819604091
35.80,-638636924#1.9,-638636924#1.9_1,,,
35.80,-8867312#4.11,-8867312#4.11_0,0_5,132.0663049184,14.1763458748
35.80,115872656#11.5,115872656#11.5_0,0_14,27.2987252593,11.5199108116
35.80,115872656#11.5,115872656#11.5_1,0_0,119.8605457782,22.4438699915
35.80,834845345#1,834845345#1_0,0_22,4.0403637437,20.2014724366
35.80,834845345#1,834845345#1_0,0_20,86.8367753589,25.2005672938
35.80,834845345#1,834845345#1_0,0_17,179.1085782175,21.2878096842
35.80,834845345#1,834845345#1_0,0_16,241.9529444858,23.8409879014
35.80,834845345#1,834845345#1_0,0_15,286.2302935235,24.8170071455
35.80,834845345#1,834845345#1_1,,,
35.80,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
35.80,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
35.80,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,45.0036255644,16.5386884823
35.80,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,75.8194533954,15.5534126418
35.80,834845345#7,834845345#7_0,0_2,56.8307934625,17.6784289121
35.80,834845345#7,834845345#7_1,,,
35.80,8867312#6.18,8867312#6.18_0,0_4,56.8466785008,12.9879525464
35.80,8868160#0.7,8868160#0.7_0,0_21,52.2629107984,29.0365294179
35.80,8868160#0.7,8868160#0.7_1,,,
35.80,gneE23,gneE23_0,0_11,5.5735701484,16.2244681209
35.80,gneE23,gneE23_1,,,
35.90,:6018664060_0,:6018664060_0_0,,,
35.90,:6018664060_0,:6018664060_0_1,0_19,9.3331971242,15.2026652639
35.90,:6018664060_0,:6018664060_0_2,,,
35.90,:6018699306_1,:6018699306_1_0,0_10,12.3346724621,17.7794249974
35.90,:6018699306_1,:6018699306_1_1,,,
35.90,:63082002_4,:63082002_4_0,0_12,23.7485954583,24.2368487995
35.90,:63082002_4,:63082002_4_1,,,
35.90,:64208332_1,:64208332_1_0,,,
35.90,:64208332_1,:64208332_1_1,0_6,5.1652888771,22.4164454284
35.90,:gneJ26_1,:gneJ26_1_0,0_18,12.9687445846,25.0415805864
35.90,:gneJ26_1,:gneJ26_1_1,,,
35.90,-638636924#1.9,-638636924#1.9_0,0_13,54.5484561222,0.0000000000
35.90,-638636924#1.9,-638636924#1.9_1,,,
35.90,-8867312#4.11,-8867312#4.11_0,0_5,133.4841760555,14.1810768670
35.90,115872656#11.5,115872656#11.5_0,0_14,28.4583680471,11.6729449440
35.90,115872656#11.5,115872656#11.5_1,0_0,122.1049327774,22.4438699915
35.90,834845345#1,834845345#1_0,0_22,6.0604936732,20.2011261549
35.90,834845345#1,834845345#1_0,0_20,89.3558969762,25.1818650506
35.90,834845345#1,834845345#1_0,0_17,181.2373023242,21.2866724500
35.90,834845345#1,834845345#1_0,0_16,244.3371436077,23.8429945373
35.90,834845345#1,834845345#1_0,0_15,288.7122175136,24.8214726562
35.90,834845345#1,834845345#1_1,,,
35.90,834845345#4,834845345#4_0,0_7,1.0366390985,24.5446606362
35.90,834845345#4,834845345#4_1,,,
35.90,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
35.90,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
35.90,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,46.6550659961,16.4901201509
35.90,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,77.3751929801,15.5613790531
35.90,834845345#7,834845345#7_0,0_2,58.6007274856,17.7202515516
35.90,834845345#7,834845345#7_1,,,
35.90,8867312#6.18,8867312#6.18_0,0_4,58.1463510350,13.0054981364
35.90,8868160#0.7,8868160#0.7_0,0_21,55.1666367106,29.0379888256
35.90,8868160#0.7,8868160#0.7_1,,,
35.90,gneE23,gneE23_0,0_11,7.1961993539,16.2281159879
35.90,gneE23,gneE23_1,,,
36.00,:6018664060_0,:6018664060_0_0,,,
36.00,:6018664060_0,:6018664060_0_1,0_19,10.8534710401,15.2028130536
36.00,:6018664060_0,:6018664060_0_2,,,
36.00,:6018699306_1,:6018699306_1_0,0_10,14.1126149619,17.7794249974
36.00,:6018699306_1,:6018699306_1_1,,,
36.00,:63082002_4,:63082002_4_0,0_12,26.1682110146,24.1554623264
36.00,:63082002_4,:63082002_4_1,,,
36.00,:64208332_1,:64208332_1_0,,,
36.00,:64208332_1,:64208332_1_1,0_6,7.4081835027,22.4414470843
36.00,-638636924#1.9,-638636924#1.9_0,0_13,54.5484561222,0.0000000000
36.00,-638636924#1.9,-638636924#1.9_1,,,
36.00,-8867312#4.11,-8867312#4.11_0,0_5,134.9025109959,14.1856219401
36.00,115872656#11.5,115872656#11.5_0,0_14,29.6333142481,11.8259790764
36.00,115872656#11.5,115872656#11.5_1,0_0,124.3493197765,22.4438699915
36.00,834845345#1,834845345#1_0,0_22,8.0805902820,20.2008060213
36.00,834845345#1,834845345#1_0,0_20,91.8731483691,25.1631628074
36.00,834845345#1,834845345#1_0,0_17,183.3659592309,21.2864656838
36.00,834845345#1,834845345#1_0,0_16,246.7215433933,23.8450011731
36.00,834845345#1,834845345#1_0,0_15,291.1945880547,24.8259381668
36.00,834845345#1,834845345#1_1,,,
36.00,834845345#4,834845345#4_0,0_7,3.4911295042,24.5451474781
36.00,834845345#4,834845345#4_1,,,
36.00,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
36.00,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
36.00,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,48.3019815364,16.4481906566
36.00,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,78.9317244347,15.5692500379
36.00,834845345#7,834845345#7_0,0_2,60.3748248344,17.7616954232
36.00,834845345#7,834845345#7_1,,,
36.00,8867312#6.18,8867312#6.18_0,0_4,59.4476680702,13.0208425686
36.00,8868160#0.7,8868160#0.7_0,0_21,58.0705085635,29.0394482333
36.00,8868160#0.7,8868160#0.7_1,,,
36.00,gneE22,gneE22_0,0_18,0.9299096430,24.9817205826
36.00,gneE22,gneE22_1,,,
36.00,gneE23,gneE23_0,0_11,8.8191933460,16.2317638550
36.00,gneE23,gneE23_1,,,
36.10,:6018664060_0,:6018664060_0_0,,,
36.10,:6018664060_0,:6018664060_0_1,0_19,12.3737597350,15.2029608433
36.10,:6018664060_0,:6018664060_0_2,,,
36.10,:6018699306_1,:6018699306_1_0,0_10,15.8905574616,17.7794249974
36.10,:6018699306_1,:6018699306_1_1,,,
36.10,:64208332_1,:64208332_1_0,,,
36.10,:64208332_1,:64208332_1_1,0_6,9.6535782940,22.4664487402
36.10,-638636924#1.9,-638636924#1.9_0,0_13,54.5484561222,0.0000000000
36.10,-638636924#1.9,-638636924#1.9_1,,,
